Laptop ID,Laptop Model,Laptop Status,Fan Faulty,Disk Usage (%),CPU Usage (%),Memory Usage (%),Manufacturer,Processor Type,Screen Size (inch),Battery Capacity (Wh),Number of USB Ports,Graphics Card,Bluetooth,Wi-Fi,Touch Screen,Weight (kg),Target
c37dae4b-bfcc-43cf-938a-e9218ec74516,Laptop Model A,Active,0,30.06,88.35,69.38,HP,AMD Ryzen 7,17,50,2,NVIDIA GeForce GTX 1650,Yes,Yes,Yes,2.08,1
1b9466f3-98a0-45dd-be28-eddf9f88697f,Laptop Model C,Active,1,30.13,34.49,63.68,Dell,AMD Ryzen 7,15,50,3,Integrated Graphics,No,No,Yes,1.51,1
5975b995-397a-4d93-8727-70f54ebaf4b5,Laptop Model A,Offline,0,14.19,59.4,29.52,Asus,Intel Core i7,15,50,3,Integrated Graphics,Yes,Yes,Yes,1.35,0
a8c99c95-f8f3-4869-8c70-34f6e2918a0e,Laptop Model A,Offline,0,58.38,33.9,43.29,Lenovo,AMD Ryzen 7,17,40,2,Integrated Graphics,Yes,No,No,1.94,0
3cca0c5d-48c2-4cd8-be6a-7a80f6336e79,Laptop Model B,Offline,0,35.19,88.46,32.31,Asus,Intel Core i7,14,60,3,NVIDIA GeForce GTX 1650,No,Yes,Yes,1.44,1
62a15bf9-a37e-432c-99a3-4205d1d72aae,Laptop Model A,Active,1,78.31,71.31,12.31,Lenovo,Intel Core i7,14,40,2,Integrated Graphics,Yes,No,Yes,1.22,1
c02fa90d-cef0-4f6a-a465-0c7b62f34926,Laptop Model B,Active,1,91.49,88.69,55.96,Asus,Intel Core i7,17,40,2,Integrated Graphics,Yes,Yes,Yes,1.36,1
73a2c8e6-b482-4ef9-b87c-b5b5df100536,Laptop Model B,Offline,0,78.43,65.78,25.97,HP,Intel Core i7,17,40,3,NVIDIA GeForce GTX 1650,Yes,No,No,1.02,0
d5c5cc53-895a-48c0-b798-6f75fc4416ac,Laptop Model C,Offline,0,35.33,78.58,11.08,HP,Intel Core i7,17,60,2,NVIDIA GeForce GTX 1650,No,No,No,1.68,0
20127f4b-55e4-481b-8a83-95109dcaf731,Laptop Model B,Offline,1,82.93,73.43,40.76,Lenovo,AMD Ryzen 7,14,40,3,NVIDIA GeForce GTX 1650,No,Yes,Yes,1.25,1
6339f4a6-8ac1-4fdc-ba2e-c10d9daa47a9,Laptop Model B,Offline,1,85.27,36.86,34.61,Dell,Intel Core i5,17,70,4,Integrated Graphics,Yes,Yes,Yes,2.26,1
cad1fb32-51d2-47e7-b229-75bad214ce98,Laptop Model C,Active,1,31.68,77.24,27.55,Dell,AMD Ryzen 7,17,60,2,Integrated Graphics,Yes,Yes,Yes,1.16,1
d5ba6dff-8166-426d-813a-c652fec041ad,Laptop Model C,Offline,1,57.88,89.7,90.24,Asus,AMD Ryzen 7,14,70,3,Integrated Graphics,Yes,No,No,1.32,1
c312f8f7-672b-4e93-8124-d9cf15e6db32,Laptop Model C,Offline,1,79.78,74.65,33.81,Asus,Intel Core i7,14,60,3,Integrated Graphics,Yes,No,No,2.47,1
8e4d6797-3004-4fe6-b84b-2d768fbd3d64,Laptop Model A,Active,0,78.88,56.62,14.63,Dell,AMD Ryzen 7,14,70,2,NVIDIA GeForce GTX 1650,No,No,Yes,2.13,0
fa765ef1-5dc4-4efd-9d7b-c2b821058d57,Laptop Model C,Offline,1,68.54,26.4,51.04,Lenovo,Intel Core i7,13,60,3,Integrated Graphics,No,Yes,Yes,1.67,1
d122a222-2ff0-4fe1-aa35-3bbdfa998dda,Laptop Model B,Offline,0,76.91,94.04,84.44,Lenovo,Intel Core i5,15,60,3,Integrated Graphics,Yes,Yes,No,2.27,1
6982ec3c-377d-4e25-ae94-6759136078a6,Laptop Model A,Active,1,64.4,26.63,74.75,HP,Intel Core i7,17,50,3,NVIDIA GeForce GTX 1650,No,Yes,Yes,1.49,1
