Server ID,Server Name,Server Status,Disk Usage (%),CPU Usage (%),Memory Usage (%),Operating System,Number of CPU Cores,RAM Capacity (GB),Network Traffic (Mbps),Disk I/O (IOPS),Server Location,Server Uptime (days),Target
0560324d-9473-4601-9c36-663d91b1cc52,Server C,Offline,93.05,11.51,56.95,Linux,16,16,40.37,26.64,Data Center,230,1
b8baa62c-68d9-4257-9fd2-679ead3de617,Server C,Offline,70.71,52.34,80.44,Windows Server,6,64,35.32,69.85,Office,146,0
f240e773-15a5-4688-af7c-5b68aff2e679,Server A,Offline,45.9,36.88,90.65,Ubuntu Server,16,8,22.32,16.49,Office,136,1
a6d5bf90-c43f-40c8-929e-a27f34f3d20f,Server A,Online,33.5,13.56,64.8,Linux,8,8,98.19,75.33,Office,140,1
c3fea11b-838c-4316-9203-e088b6768555,Server C,Online,82.5,24.92,80.64,Windows Server,8,8,38.75,52.07,Data Center,338,1
5973b8ee-1ca0-4f76-8b9a-2bedb03e1e00,Server B,Online,62.97,72.1,38.41,Windows Server,16,8,75.31,84.95,Office,73,0
653bfac4-2628-4261-b13c-7392e43c1444,Server A,Offline,39.07,15.68,38.71,Linux,8,32,60.35,53.96,Data Center,242,1
56c951f6-7255-424c-a8ff-41c4cba98765,Server A,Online,84.82,15.42,48.17,Windows Server,16,64,92.39,19.13,Office,316,1
e188a53b-a436-4412-ae8d-709e4221b88d,Server B,Online,25.94,71.85,89.62,Ubuntu Server,16,16,77.64,40.47,Data Center,227,1
4f8caa4d-4fbe-401d-a763-b3dd82edc6af,Server B,Offline,53.66,69.87,69.57,Linux,12,8,92.16,87.08,Data Center,130,1
079f9a6f-0816-4a1a-83ed-85653b791f97,Server C,Online,54.97,55.3,85.22,Ubuntu Server,4,32,27.67,68.0,Data Center,334,1
84aeddaf-3076-4596-88c7-e0909c4e39e7,Server B,Offline,49.11,85.17,92.84,Windows Server,16,8,46.36,84.23,Data Center,15,1
6fb8f8cb-158b-4971-a58b-1357098ece60,Server B,Offline,31.65,15.87,92.59,Linux,4,32,94.66,29.74,Office,268,1
f43c6b99-9c16-4c26-8515-22468511b7ba,Server A,Online,21.37,77.32,87.87,Linux,12,8,80.28,35.64,Data Center,204,1
e10691e2-9826-43ab-8b2d-0f516f64f438,Server A,Online,57.01,36.3,30.7,Windows Server,8,16,10.54,81.35,Data Center,327,1
280ef362-9918-4c25-bc9d-946aa5515a86,Server B,Online,71.04,92.02,35.71,Windows Server,12,16,38.79,58.62,Office,166,1
43097d5b-a78e-428f-b78b-c9979e118666,Server A,Offline,41.02,78.92,44.09,Windows Server,6,8,59.18,16.25,Data Center,99,0
a6b2190e-aa51-4a9a-ac5b-110b3bc1ce90,Server B,Offline,18.43,82.56,35.91,Ubuntu Server,12,64,17.58,45.19,Office,317,1
